id,bucket,file_origine,data_documento,fornitore,descrizione,categoria_db,categoria_runtime,prezzo_unitario,totale_riga,quantita,tipo_documento,needs_review
115428,storno,IT09167810960_HY54V.xml.p7m,2026-02-11,SHIDU INTERNATIONAL SRL,RISOVI RISO NERONE 907G/10,PASTA E CEREALI,PASTA E CEREALI,-2.85,-68.4,24.0,TD04,False
115433,storno,IT09643780159_00BLD.xml.p7m,2026-02-03,CASIMIROLAB S.R.L,N.C. A STORNO PARZIALE CAUSA MERCE DIFETTOSA: 7 SCATOLE 20 BLISTER,📝 NOTE E DICITURE,📝 NOTE E DICITURE,-520.0,-520.0,1.0,TD04,False
114594,sconto_omaggio,IT06628860964_fOhcO.xml.p7m,2026-01-10,BEST FOOD SRL,M MOKA CTX 12 PZ - MONOPORZIONE MOKA CTX 12 PZ,GELATI E DESSERT,GELATI E DESSERT,34.8,0.0,1.0,TD01,False
114686,sconto_omaggio,IT06628860964_fS2xO.xml.p7m,2026-01-27,BEST FOOD SRL,M MOKA CTX 12 PZ - MONOPORZIONE MOKA CTX 12 PZ,GELATI E DESSERT,GELATI E DESSERT,34.8,0.0,1.0,TD01,False
115646,dicitura,IT00631300985_042Z3.xml,2026-03-03,AZIENDA AGRICOLA CA' DEI FRATI DI DAL CERO PIETRO E FIGLI SOCIETA' AGRICOLA,SCONTI FINALI - 5.00%,📝 NOTE E DICITURE,📝 NOTE E DICITURE,-15.75,-15.75,1.0,TD24,False
116252,storno,IT02707970964_053QP.xml,2026-03-13,ADC S.R.L,SALMONE 5-6,PESCE,PESCE,-8.89,-15.29,1.72,TD04,False
116277,storno,IT02707970964_053VQ.xml,2026-03-16,ADC S.R.L,SALMONE 5-6,PESCE,PESCE,-8.11,-187.34,23.1,TD04,False
116304,storno,IT02707970964_0539R.xml,2026-02-28,ADC S.R.L,SALMONE 5-6,PESCE,PESCE,-8.89,-33.6,3.78,TD04,False
116428,storno,IT03237470236_ezRXo.xml,2026-03-11,PARTESA S.R.L,PREMIO POSTICIPATO FINE PERIODO RIFERIMENTO: 4000305690 VALIDIT: 01.02.2026 - 28.02.2026,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-881.33,-881.33,1.0,TD04,False
116429,storno,IT03237470236_ezRXo.xml,2026-03-11,PARTESA S.R.L,RIVALSA BOLLO N.C,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-2.0,-2.0,1.0,TD04,False
116424,storno,IT03237470236_eKgUS.xml,2026-03-31,PARTESA S.R.L,ACCREDITO CAUZIONI,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-1500.0,-1500.0,1.0,TD24,False
116453,sconto_omaggio,IT04077341008_KLKI5.xml,2026-02-28,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,30.99,0.0,11.0,TD24,False
116454,storno,IT04077341008_KLKI5.xml,2026-02-28,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO RESI,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,9.0,TD24,False
116455,storno,IT04077341008_KLKI5.xml,2026-02-28,ENOTECA COLOMBO SNC,CAUZIONE BOMBOLE CO2 KG. 14,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,1.0,TD24,False
116457,sconto_omaggio,IT04077341008_KLKI5.xml,2026-02-28,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,30.99,0.0,11.0,TD24,False
116458,storno,IT04077341008_KLKI5.xml,2026-02-28,ENOTECA COLOMBO SNC,CAUZIONE FUSTI BIRRA RESI,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,1.0,TD24,False
116459,storno,IT04077341008_KLKI5.xml,2026-02-28,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO RESI,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,8.0,TD24,False
116462,sconto_omaggio,IT04077341008_KLKI5.xml,2026-02-28,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,30.99,0.0,13.0,TD24,False
116463,storno,IT04077341008_KLKI5.xml,2026-02-28,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO RESI,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,10.0,TD24,False
116464,storno,IT04077341008_KLKI5.xml,2026-02-28,ENOTECA COLOMBO SNC,CAUZIONE FUSTI BIRRA REI,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,1.0,TD24,False
116465,storno,IT04077341008_KLKI5.xml,2026-02-28,ENOTECA COLOMBO SNC,CAUZIONE BOMBOLE CO2 KG. 14,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,1.0,TD24,False
116545,storno,IT04157540966_it42w.xml,2026-03-03,METRO ITALIA S.P.A,G125X8 BURRATE MC,LATTICINI,LATTICINI,-15.53,-15.53,1.0,TD04,False
116579,storno,IT04157540966_j2bdc.xml,2026-03-16,METRO ITALIA S.P.A,RIGA FATTURA,📝 NOTE E DICITURE,📝 NOTE E DICITURE,-2066.95,-2066.95,1.0,TD04,False
116693,sconto_omaggio,IT06628860964_g3gBc.xml.p7m,2026-02-24,BEST FOOD SRL,M MOKA CTX 12 PZ - MONOPORZIONE MOKA CTX 12 PZ,GELATI E DESSERT,GELATI E DESSERT,34.8,0.0,1.0,TD01,False
116706,sconto_omaggio,IT06628860964_g8ex6.xml.p7m,2026-03-11,BEST FOOD SRL,M MOKA CTX 12 PZ - MONOPORZIONE MOKA CTX 12 PZ,GELATI E DESSERT,GELATI E DESSERT,34.8,0.0,1.0,TD01,False
116760,storno,IT06967160968_064LQ.xml,2026-03-11,ASIANTRADE SRL,SACHETTI DI CARTA BIANCO 250PZ 26L*14W*29,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-0.38,-95.0,250.0,TD04,False
116786,storno,IT06967160968_06440.xml,2026-03-05,ASIANTRADE SRL,"CODE MAZZANCOLLE BLUE OCEAN 31/35 (22,7KG)10*2,27KG",PESCE,PESCE,-6.45,-146.42,22.7,TD04,False
116787,storno,IT06967160968_06440.xml,2026-03-05,ASIANTRADE SRL,WHITE PRAWN CRACKERS CRACKERS 200G*60PZ,PASTA E CEREALI,PASTA E CEREALI,-0.65,-38.76,60.0,TD04,False
116865,storno,IT07102210965_03THL.xml,2026-02-24,H.D. ITALIA S.R.L,BISCOTTI FORTUNA 275PZ RESO,SHOP,SHOP,0.0,0.0,1.0,TD01,True
116918,storno,IT07102210965_03TMR.xml,2026-02-28,H.D. ITALIA S.R.L,GAMBERI ARGENTINA(ARBUMASA) 6X2KG C2,PESCE,PESCE,-9.97,-159.6,16.0,TD04,False
116963,sconto_omaggio,IT07102210965_03TTP.xml,2026-03-06,H.D. ITALIA S.R.L,"INVOLTINO VIETNAM (POLLO) 7X1,9KG",CARNE,CARNE,0.0,0.0,2.0,TD01,True
116975,storno,IT07102210965_03U9P.xml,2026-03-21,H.D. ITALIA S.R.L,GAMBERI ROSSO MEDITERRANO 6X1KG 3 III,PESCE,PESCE,-33.9,-33.9,1.0,TD04,False
